verdict	only_hist	only_disk	disk_size	hist_size	rel_path	snapshot	strategy	hist_uri
MINOR	0	0	1041	88768	CaseCrack/tools/burp_enterprise/integrations/__init__.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-3bcd2844\XCHc.py	basename	file:///c%3A/Users/ya754/Shopigy/tools/burp_enterprise/__init__.py
MINOR	0	1	612	88768	CaseCrack/tools/burp_enterprise/intel/__init__.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-3bcd2844\XCHc.py	basename	file:///c%3A/Users/ya754/Shopigy/tools/burp_enterprise/__init__.py
MINOR	0	0	7342	88768	CaseCrack/tools/burp_enterprise/loop/__init__.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-3bcd2844\XCHc.py	basename	file:///c%3A/Users/ya754/Shopigy/tools/burp_enterprise/__init__.py
MINOR	0	0	90	88768	CaseCrack/tools/burp_enterprise/mcp/__init__.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-3bcd2844\XCHc.py	basename	file:///c%3A/Users/ya754/Shopigy/tools/burp_enterprise/__init__.py
MINOR	0	0	966	88768	CaseCrack/tools/burp_enterprise/memory/__init__.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-3bcd2844\XCHc.py	basename	file:///c%3A/Users/ya754/Shopigy/tools/burp_enterprise/__init__.py
MINOR	0	0	91	88768	CaseCrack/tools/burp_enterprise/misc/__init__.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-3bcd2844\XCHc.py	basename	file:///c%3A/Users/ya754/Shopigy/tools/burp_enterprise/__init__.py
MINOR	0	0	947	88768	CaseCrack/tools/burp_enterprise/network/__init__.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-3bcd2844\XCHc.py	basename	file:///c%3A/Users/ya754/Shopigy/tools/burp_enterprise/__init__.py
MINOR	0	0	857	88768	CaseCrack/tools/burp_enterprise/notifications/__init__.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-3bcd2844\XCHc.py	basename	file:///c%3A/Users/ya754/Shopigy/tools/burp_enterprise/__init__.py
MINOR	0	0	2269	88768	CaseCrack/tools/burp_enterprise/osint_providers/__init__.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-3bcd2844\XCHc.py	basename	file:///c%3A/Users/ya754/Shopigy/tools/burp_enterprise/__init__.py
MINOR	0	0	93	88768	CaseCrack/tools/burp_enterprise/output/__init__.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-3bcd2844\XCHc.py	basename	file:///c%3A/Users/ya754/Shopigy/tools/burp_enterprise/__init__.py
MINOR	0	0	2043	88768	CaseCrack/tools/burp_enterprise/passive_templates/__init__.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-3bcd2844\XCHc.py	basename	file:///c%3A/Users/ya754/Shopigy/tools/burp_enterprise/__init__.py
MINOR	0	0	95	88768	CaseCrack/tools/burp_enterprise/pipeline/__init__.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-3bcd2844\XCHc.py	basename	file:///c%3A/Users/ya754/Shopigy/tools/burp_enterprise/__init__.py
MINOR	0	0	1090	88768	CaseCrack/tools/burp_enterprise/platforms/__init__.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-3bcd2844\XCHc.py	basename	file:///c%3A/Users/ya754/Shopigy/tools/burp_enterprise/__init__.py
MINOR	0	0	3033	88768	CaseCrack/tools/burp_enterprise/reasoning/__init__.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-3bcd2844\XCHc.py	basename	file:///c%3A/Users/ya754/Shopigy/tools/burp_enterprise/__init__.py
MINOR	0	0	92	88768	CaseCrack/tools/burp_enterprise/recon/__init__.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-3bcd2844\XCHc.py	basename	file:///c%3A/Users/ya754/Shopigy/tools/burp_enterprise/__init__.py
MINOR	0	0	696	88768	CaseCrack/tools/burp_enterprise/reporting/__init__.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-3bcd2844\XCHc.py	basename	file:///c%3A/Users/ya754/Shopigy/tools/burp_enterprise/__init__.py
MINOR	0	0	95	88768	CaseCrack/tools/burp_enterprise/scanners/__init__.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-3bcd2844\XCHc.py	basename	file:///c%3A/Users/ya754/Shopigy/tools/burp_enterprise/__init__.py
MINOR	0	0	636	88768	CaseCrack/tools/burp_enterprise/secrets/__init__.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-3bcd2844\XCHc.py	basename	file:///c%3A/Users/ya754/Shopigy/tools/burp_enterprise/__init__.py
MINOR	0	0	99	88768	CaseCrack/tools/burp_enterprise/session_auth/__init__.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-3bcd2844\XCHc.py	basename	file:///c%3A/Users/ya754/Shopigy/tools/burp_enterprise/__init__.py
MINOR	0	0	4999	88768	CaseCrack/tools/burp_enterprise/swarm/__init__.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-3bcd2844\XCHc.py	basename	file:///c%3A/Users/ya754/Shopigy/tools/burp_enterprise/__init__.py
MINOR	0	0	1055	88768	CaseCrack/tools/burp_enterprise/testing_tools/__init__.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-3bcd2844\XCHc.py	basename	file:///c%3A/Users/ya754/Shopigy/tools/burp_enterprise/__init__.py
MINOR	0	0	2351	88768	CaseCrack/tools/burp_enterprise/tool_registry/__init__.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-3bcd2844\XCHc.py	basename	file:///c%3A/Users/ya754/Shopigy/tools/burp_enterprise/__init__.py
MINOR	0	1	7724	88768	CaseCrack/tools/burp_enterprise/tool_wrappers/__init__.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-3bcd2844\XCHc.py	basename	file:///c%3A/Users/ya754/Shopigy/tools/burp_enterprise/__init__.py
MINOR	0	0	3154	88768	CaseCrack/tools/burp_enterprise/vuln_intel/__init__.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-3bcd2844\XCHc.py	basename	file:///c%3A/Users/ya754/Shopigy/tools/burp_enterprise/__init__.py
MINOR	0	0	2027	88768	CaseCrack/tools/burp_enterprise/wasm_analysis/__init__.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-3bcd2844\XCHc.py	basename	file:///c%3A/Users/ya754/Shopigy/tools/burp_enterprise/__init__.py
MINOR	0	0	3599	88768	CaseCrack/tools/burp_enterprise/cli/_parsers/__init__.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-3bcd2844\XCHc.py	basename	file:///c%3A/Users/ya754/Shopigy/tools/burp_enterprise/__init__.py
